Time,"6"" Moisture","12"" Moisture","24"" Moisture"
2019-07-30T07:03:13.131-05:00,-16.69,-15.45,-25.81
2019-07-30T09:03:40.106-05:00,-17.9,-16.53,-25.48
2019-07-30T11:04:06.862-05:00,-19.08,-17.56,-25.36
2019-07-30T13:04:35.907-05:00,-20.39,-18.83,-25.57
2019-07-30T15:05:03.003-05:00,-21.59,-20.01,-25.45
2019-07-30T17:05:34.071-05:00,-22.62,-20.9,-24.9
2019-07-30T19:06:00.981-05:00,-23.86,-21.83,-24.36
2019-07-30T23:06:52.181-05:00,-24.56,-22.32,-23.57
2019-07-31T01:07:23.189-05:00,-25.32,-22.62,-23.01
2019-07-31T03:07:52.306-05:00,-26.09,-22.98,-22.6
2019-07-31T05:08:19.589-05:00,-26.64,-23.24,-22.3
2019-07-31T07:08:50.359-05:00,-27.16,-23.45,-22.05
2019-07-31T09:09:18.308-05:00,-27.99,-23.98,-22.25
2019-07-31T11:09:47.357-05:00,-29.25,-25.14,-22.76
